,id,Name,boostered,change-weekly,at_least_one_dose,two_doses
0,10102,Queanbeyan,63.6,1.6,95.0,95.0
1,10103,Snowy Mountains,61.6,1.2,95.0,95.0
2,10104,South Coast,65.5,0.9,95.0,95.0
3,10105,Goulburn - Mulwaree,61.5,1.1,95.0,95.0
4,10106,Young - Yass,64.2,1.3,95.0,95.0
5,10201,Gosford,60.6,1.1,95.0,95.0
6,10202,Wyong,55.1,1.1,95.0,95.0
7,10301,Bathurst,59.4,1.5,95.0,94.6
8,10302,Lachlan Valley,59.8,1.4,95.0,95.0
9,10303,Lithgow - Mudgee,58.2,2.2,95.0,95.0
10,10304,Orange,60.7,1.0,95.0,95.0
11,10401,Clarence Valley,56.0,1.1,95.0,95.0
12,10402,Coffs Harbour,54.6,1.2,95.0,95.0
13,10501,Bourke - Cobar - Coonamble,52.2,1.2,95.0,95.0
14,10502,Broken Hill and Far West,58.5,1.4,95.0,95.0
15,10503,Dubbo,56.5,1.0,95.0,95.0
16,10601,Lower Hunter,51.9,1.1,95.0,95.0
17,10602,Maitland,55.1,1.3,95.0,95.0
18,10603,Port Stephens,60.9,1.1,95.0,95.0
19,10604,Upper Hunter,55.3,1.4,95.0,95.0
20,10701,Dapto - Port Kembla,55.4,1.3,95.0,95.0
21,10703,Kiama - Shellharbour,57.9,1.1,95.0,95.0
22,10704,Wollongong,58.8,0.9,91.0,89.8
23,10801,Great Lakes,61.2,2.5,95.0,95.0
24,10802,Kempsey - Nambucca,54.8,0.9,95.0,95.0
25,10804,Port Macquarie,61.8,1.1,95.0,95.0
26,10805,Taree - Gloucester,57.9,2.4,95.0,95.0
27,10901,Albury,60.9,1.4,95.0,95.0
28,10902,Lower Murray,58.4,1.5,95.0,95.0
29,10903,Upper Murray exc. Albury,64.0,1.3,95.0,95.0
30,11001,Armidale,60.5,1.5,93.9,92.4
31,11002,Inverell - Tenterfield,55.6,2.3,95.0,95.0
32,11003,Moree - Narrabri,50.8,1.4,94.2,92.5
33,11004,Tamworth - Gunnedah,56.1,1.4,95.0,95.0
34,11101,Lake Macquarie - East,61.8,1.2,95.0,95.0
35,11102,Lake Macquarie - West,56.2,1.3,95.0,95.0
36,11103,Newcastle,60.0,1.3,94.7,93.4
37,11201,Richmond Valley - Coastal,53.4,1.0,94.9,93.1
38,11202,Richmond Valley - Hinterland,50.5,0.5,95.0,95.0
39,11203,Tweed Valley,52.4,1.0,92.3,90.7
40,11301,Griffith - Murrumbidgee (West),53.8,1.5,95.0,95.0
41,11302,Tumut - Tumbarumba,58.0,0.7,95.0,95.0
42,11303,Wagga Wagga,60.2,1.2,95.0,95.0
43,11401,Shoalhaven,62.4,0.9,95.0,95.0
