,Name,Fully vaccinated,Week-on-week change,At least one dose (15+)
208,Bowen Basin - North,72.6,6.2,81.4
209,Mackay,87.1,5.4,94.2
220,Outback - North,73.5,5.3,84.3
230,Charters Towers - Ayr - Ingham,81.9,5.2,89.4
187,Gladstone,82.4,5.2,89.8
184,Central Highlands (Qld),73.1,5.0,81.8
210,Whitsunday,79.2,4.9,84.8
185,Rockhampton,81.9,4.9,89.4
177,Cairns - South,86.2,4.9,93.3
180,Tablelands (East) - Kuranda,83.9,4.7,91.5
212,Caboolture,85.8,4.6,92.3
205,Jimboomba,84.6,4.6,90.8
204,Browns Plains,83.8,4.6,92.0
201,Springfield - Redbank,84.6,4.5,91.8
202,Beaudesert,78.9,4.5,85.2
203,Beenleigh,83.3,4.5,90.5
182,Darling Downs - East,87.0,4.4,93.2
186,Biloela,76.9,4.4,84.1
236,Maryborough,87.2,4.4,93.7
235,Hervey Bay,92.3,4.3,95.0
232,Bundaberg,89.2,4.2,95.0
234,Gympie - Cooloola,80.2,4.2,87.0
233,Burnett,81.3,4.2,88.3
194,Ormeau - Oxenford,85.9,4.1,91.3
178,Innisfail - Cassowary Coast,80.0,4.1,87.9
199,Ipswich Hinterland,82.5,4.0,88.1
183,Granite Belt,86.7,4.0,94.4
219,Far North,55.8,4.0,64.0
179,Port Douglas - Daintree,85.3,4.0,89.9
221,Outback - South,85.9,3.9,91.3
231,Townsville,83.9,3.9,89.5
181,Darling Downs (West) - Maranoa,85.9,3.9,91.9
229,Toowoomba,88.5,3.8,93.8
214,Narangba - Burpengary,88.9,3.8,94.4
206,Loganlea - Carbrook,81.7,3.7,87.7
207,Springwood - Kingston,83.2,3.7,90.7
213,Caboolture Hinterland,75.3,3.7,80.6
200,Ipswich Inner,87.5,3.6,93.1
217,North Lakes,85.1,3.6,89.9
176,Cairns - North,87.0,3.5,91.7
196,Southport,83.9,3.5,89.0
227,Nambour,90.6,3.5,95.0
226,Sunshine Coast Hinterland,87.0,3.4,92.1
193,Nerang,79.7,3.4,84.6
245,Playford,80.3,3.4,88.9
218,Strathpine,89.4,3.4,95.0
293,East Pilbara,50.9,3.4,60.9
197,Surfers Paradise,82.9,3.3,87.3
166,Rocklea - Acacia Ridge,89.7,3.3,94.7
228,Noosa Hinterland,80.6,3.3,85.5
192,Mudgeeraba - Tallebudgera,84.0,3.2,88.7
188,Broadbeach - Burleigh,88.3,3.2,92.6
296,Gascoyne,71.1,3.2,80.1
215,Redcliffe,92.4,3.2,95.0
224,Maroochy,88.1,3.1,92.8
223,Caloundra,93.3,3.1,95.0
191,Gold Coast Hinterland,80.4,3.1,85.0
322,Katherine,71.5,3.1,79.0
297,Goldfields,70.2,3.1,81.7
195,Robina,80.6,3.0,84.7
198,Forest Lake - Oxley,82.7,3.0,88.1
156,Cleveland - Stradbroke,92.5,3.0,95.0
225,Noosa,91.7,3.0,95.0
167,Sunnybank,86.4,2.9,91.4
190,Gold Coast - North,84.0,2.9,88.5
172,Brisbane Inner,86.0,2.9,89.8
189,Coolangatta,86.5,2.8,90.6
282,Serpentine - Jarrahdale,75.8,2.8,85.1
298,Mid West,82.9,2.7,93.7
155,Capalaba,91.1,2.7,95.0
161,Sandgate,88.5,2.7,92.6
247,Salisbury,84.2,2.7,91.2
222,Buderim,85.1,2.6,89.0
164,Mt Gravatt,87.9,2.6,92.1
259,Yorke Peninsula,88.6,2.6,93.9
157,Wynnum - Manly,90.3,2.6,94.2
268,Mandurah,86.5,2.6,95.0
244,Gawler - Two Wells,89.8,2.6,95.0
266,Bunbury,85.1,2.5,94.6
216,The Hills District,92.9,2.5,95.0
277,Armadale,82.3,2.5,91.7
267,Manjimup,85.5,2.5,94.5
318,Alice Springs,80.2,2.5,88.6
295,Esperance,81.8,2.5,90.5
319,Barkly,50.3,2.5,59.8
290,Wheat Belt - North,79.5,2.4,88.3
292,Kimberley,66.2,2.4,77.4
273,Swan,82.5,2.4,92.3
321,East Arnhem,66.7,2.4,73.4
312,Devonport,88.7,2.4,95.0
254,Port Adelaide - West,85.8,2.3,92.3
256,Barossa,85.3,2.3,90.1
286,Kwinana,77.5,2.3,87.5
260,Eyre Peninsula and South West,81.4,2.3,88.0
258,Mid North,84.8,2.3,90.8
288,Rockingham,80.5,2.3,89.5
160,Nundah,87.4,2.2,90.8
211,Bribie - Beachmere,95.0,2.2,95.0
158,Bald Hills - Everton Park,91.4,2.2,94.5
159,Chermside,89.0,2.2,92.3
253,Charles Sturt,85.3,2.2,90.9
280,Gosnells,82.0,2.2,91.1
291,Wheat Belt - South,83.7,2.2,90.8
246,Port Adelaide - East,87.8,2.2,93.6
264,Murray and Mallee,82.5,2.2,88.4
289,Albany,83.4,2.1,92.8
276,Wanneroo,79.6,2.1,88.7
294,West Pilbara,48.9,2.1,57.8
265,Augusta - Margaret River - Busselton,86.6,2.1,94.9
284,Cockburn,83.0,2.1,91.1
171,The Gap - Enoggera,90.1,2.1,93.0
281,Kalamunda,84.9,2.1,92.6
240,Campbelltown (SA),90.5,2.1,95.0
165,Nathan,83.1,2.1,86.4
248,Tea Tree Gully,89.6,2.1,94.4
261,Outback - North and East,69.7,2.0,77.1
173,Brisbane Inner - East,85.8,2.0,88.4
162,Carindale,89.1,2.0,92.0
163,Holland Park - Yeronga,83.2,2.0,86.3
272,Mundaring,83.3,1.9,92.4
252,Onkaparinga,87.2,1.9,92.0
311,Burnie - Ulverstone,89.5,1.9,95.0
263,Limestone Coast,88.8,1.9,93.8
174,Brisbane Inner - North,82.6,1.9,85.2
168,Centenary,94.6,1.9,95.0
304,Sorell - Dodges Ferry,93.5,1.9,95.0
307,North East,88.7,1.8,94.5
299,Brighton,92.8,1.8,95.0
313,West Coast,81.0,1.8,87.6
237,Adelaide City,88.4,1.8,94.1
238,Adelaide Hills,94.4,1.8,95.0
279,Canning,90.1,1.8,95.0
271,Bayswater - Bassendean,82.6,1.8,89.9
255,West Torrens,86.0,1.8,91.0
257,Lower North,83.8,1.8,88.8
285,Fremantle,88.7,1.7,95.0
317,Palmerston,93.7,1.7,95.0
278,Belmont - Victoria Park,79.5,1.7,87.0
275,Stirling,83.3,1.7,90.3
309,Huon - Bruny Island,89.3,1.6,94.5
306,Meander Valley - West Tamar,87.6,1.6,93.1
175,Brisbane Inner - West,86.3,1.6,88.4
262,Fleurieu - Kangaroo Island,89.5,1.6,93.7
250,Marion,89.3,1.5,93.8
241,Norwood - Payneham - St Peters,89.7,1.5,93.4
242,Prospect - Walkerville,91.4,1.5,95.0
274,Joondalup,90.4,1.5,95.0
170,Sherwood - Indooroopilly,80.2,1.4,82.3
305,Launceston,92.1,1.4,95.0
316,Litchfield,63.0,1.4,67.5
315,Darwin Suburbs,93.1,1.3,95.0
308,Central Highlands (Tas.),80.5,1.3,86.1
270,Perth City,86.9,1.3,92.6
287,Melville,91.4,1.2,95.0
249,Holdfast Bay,93.1,1.1,95.0
251,Mitcham,93.4,1.1,95.0
283,South Perth,82.0,1.1,86.7
243,Unley,90.5,1.0,93.3
320,Daly - Tiwi - West Arnhem,47.8,1.0,53.6
333,Norfolk Island,94.5,0.9,95.0
31,Inverell - Tenterfield,93.5,0.8,95.0
269,Cottesloe - Claremont,92.2,0.8,95.0
39,Tweed Valley,89.8,0.7,92.1
37,Richmond Valley - Coastal,92.8,0.7,95.0
32,Moree - Narrabri,90.5,0.6,92.9
38,Richmond Valley - Hinterland,93.2,0.6,95.0
135,Casey - North,93.0,0.5,94.8
123,Whittlesea - Wallan,93.2,0.5,95.0
137,Dandenong,91.6,0.5,93.8
139,Brimbank,90.3,0.5,92.7
117,Glen Eira,89.6,0.4,90.8
140,Hobsons Bay,89.6,0.4,91.1
126,Moreland - North,86.2,0.4,88.3
14,Broken Hill and Far West,94.3,0.4,95.0
28,Lower Murray,95.0,0.4,95.0
144,Frankston,92.2,0.4,93.8
120,Banyule,93.2,0.4,94.3
30,Armidale,91.3,0.4,93.1
129,Knox,94.6,0.4,95.0
332,Christmas Island,55.4,0.4,58.9
94,Loddon - Elmore,92.9,0.4,94.2
